loop,thread_num,schedule,time,value
loop1,16,dynamic-8,0.142193,-343021.474766
loop2,16,dynamic-8,1.074469,-25242644.603147
loop1,16,guided-1,0.144405,-343021.474766
loop2,16,guided-1,2.888478,-25242644.603147
loop1,16,guided-16,0.144886,-343021.474766
loop2,16,guided-16,2.872326,-25242644.603147
loop1,16,guided-2,0.138688,-343021.474766
loop2,16,guided-2,2.865537,-25242644.603147
loop1,16,guided-32,0.220454,-343021.474766
loop2,16,guided-32,3.898260,-25242644.603147
loop1,16,guided-4,0.133880,-343021.474766
loop2,16,guided-4,2.861183,-25242644.603147
loop1,16,guided-64,0.326019,-343021.474766
loop2,16,guided-64,4.924572,-25242644.603147
loop1,16,guided-8,0.137401,-343021.474766
loop2,16,guided-8,2.859558,-25242644.603147
loop1,16,static,0.233107,-343021.474766
loop2,16,static,4.434309,-25242644.603147
loop1,16,static-1,0.193461,-343021.474766
loop2,16,static-1,1.404704,-25242644.603147
loop1,16,static-16,0.207309,-343021.474766
loop2,16,static-16,2.205920,-25242644.603147
loop1,16,static-2,0.197669,-343021.474766
loop2,16,static-2,1.181144,-25242644.603147
loop1,16,static-32,0.262567,-343021.474766
loop2,16,static-32,4.017247,-25242644.603147
loop1,16,static-4,0.206309,-343021.474766
loop2,16,static-4,1.078575,-25242644.603147
loop1,16,static-64,0.343678,-343021.474766
loop2,16,static-64,4.928895,-25242644.603147
loop1,16,static-8,0.220241,-343021.474766
loop2,16,static-8,1.345900,-25242644.603147
