loop,thread_num,schedule,time,value
loop2,12,dynamic-8,1.109741,-25242644.603147
loop1,12,guided-1,0.178283,-343021.474766
loop2,12,guided-1,3.945307,-25242644.603147
loop1,12,guided-16,0.176788,-343021.474766
loop2,12,guided-16,3.941477,-25242644.603147
loop1,12,guided-2,0.188571,-343021.474766
loop2,12,guided-2,3.984743,-25242644.603147
loop1,12,guided-32,0.202609,-343021.474766
loop2,12,guided-32,3.901131,-25242644.603147
loop1,12,guided-4,0.171743,-343021.474766
loop2,12,guided-4,3.897769,-25242644.603147
loop1,12,guided-64,0.317826,-343021.474766
loop2,12,guided-64,4.997262,-25242644.603147
loop1,12,guided-8,0.173217,-343021.474766
loop2,12,guided-8,3.892306,-25242644.603147
loop1,12,static,0.327853,-343021.474766
loop2,12,static,4.791660,-25242644.603147
loop1,12,static-1,0.211649,-343021.474766
loop2,12,static-1,2.634928,-25242644.603147
loop1,12,static-16,0.271639,-343021.474766
loop2,12,static-16,2.205935,-25242644.603147
loop1,12,static-2,0.199747,-343021.474766
loop2,12,static-2,1.756359,-25242644.603147
loop1,12,static-32,0.242445,-343021.474766
loop2,12,static-32,4.015894,-25242644.603147
loop1,12,static-4,0.278704,-343021.474766
loop2,12,static-4,1.260292,-25242644.603147
loop1,12,static-64,0.301840,-343021.474766
loop2,12,static-64,4.920916,-25242644.603147
loop1,12,static-8,0.284590,-343021.474766
loop2,12,static-8,1.477643,-25242644.603147
loop1,16,auto,0.150819,-343021.474766
loop2,16,auto,2.856418,-25242644.603147
loop1,16,dynamic-1,0.141449,-343021.474766
loop2,16,dynamic-1,1.027137,-25242644.603147
loop1,16,dynamic-16,0.144833,-343021.474766
loop2,16,dynamic-16,2.135352,-25242644.603147
loop1,16,dynamic-2,0.138908,-343021.474766
loop2,16,dynamic-2,0.837053,-25242644.603147
loop1,16,dynamic-32,0.183301,-343021.474766
loop2,16,dynamic-32,3.889957,-25242644.603147
loop1,16,dynamic-4,0.142208,-343021.474766
loop2,16,dynamic-4,0.783943,-25242644.603147
loop1,16,dynamic-64,0.311780,-343021.474766
loop2,16,dynamic-64,4.960602,-25242644.603147
loop1,16,dynamic-8,0.138437,-343021.474766
loop2,16,dynamic-8,1.125703,-25242644.603147
loop1,16,guided-1,0.141905,-343021.474766
loop2,16,guided-1,2.857882,-25242644.603147
loop1,16,guided-16,0.141631,-343021.474766
loop2,16,guided-16,2.866803,-25242644.603147
loop1,16,guided-2,0.135852,-343021.474766
loop2,16,guided-2,2.862743,-25242644.603147
loop1,16,guided-32,0.201840,-343021.474766
loop2,16,guided-32,3.951385,-25242644.603147
loop1,16,guided-4,0.161774,-343021.474766
loop2,16,guided-4,2.945795,-25242644.603147
loop1,16,guided-64,0.358212,-343021.474766
loop2,16,guided-64,4.940254,-25242644.603147
loop1,16,guided-8,0.150481,-343021.474766
loop2,16,guided-8,2.870919,-25242644.603147
loop1,16,static,0.303925,-343021.474766
loop2,16,static,4.404769,-25242644.603147
loop1,16,static-1,0.232434,-343021.474766
loop2,16,static-1,1.758347,-25242644.603147
loop1,16,static-16,0.207677,-343021.474766
loop2,16,static-16,2.208023,-25242644.603147
loop1,16,static-2,0.211847,-343021.474766
loop2,16,static-2,1.027317,-25242644.603147
loop1,16,static-32,0.268132,-343021.474766
loop2,16,static-32,4.017016,-25242644.603147
loop1,16,static-4,0.162108,-343021.474766
loop2,16,static-4,1.072177,-25242644.603147
loop1,16,static-64,0.351045,-343021.474766
loop2,16,static-64,4.927424,-25242644.603147
loop1,16,static-8,0.245331,-343021.474766
loop2,16,static-8,1.341719,-25242644.603147
